City_ID,City,Lat,Lng,Current Conditions,Max Temp,Humidity,Cloudiness,Wind Speed,Rainfall,Snowfall,Country,Date
53,Danville,36.59,-79.39,clear sky,69.01,60,1,1.21,0.0,0.0,US,2020-04-07 00:22:44
54,Apac,1.98,32.54,broken clouds,67.64,58,82,3.09,0.0,0.0,UG,2020-04-07 00:22:44
55,Havelian,34.05,73.17,thunderstorm,64.99,63,90,13.87,0.0,0.0,PK,2020-04-07 00:22:45
56,Sur,22.57,59.53,clear sky,78.89,55,1,3.31,0.0,0.0,OM,2020-04-07 00:22:46
57,Samarkand,39.65,66.96,scattered clouds,50.0,100,40,2.24,0.0,0.0,UZ,2020-04-07 00:22:46
58,Varoska Rijeka,45.08,16.01,clear sky,38.16,70,0,2.91,0.0,0.0,BA,2020-04-07 00:22:47
59,Alvdal,62.11,10.63,broken clouds,41.0,65,71,8.05,0.0,0.0,NO,2020-04-07 00:22:47
60,Tutoia,-2.76,-42.27,overcast clouds,79.93,86,98,11.3,0.0,0.0,BR,2020-04-07 00:22:47
61,Codrington,-38.27,141.97,overcast clouds,55.76,63,100,5.21,0.0,0.0,AU,2020-04-07 00:22:47
62,Anzio,41.49,12.62,few clouds,55.0,87,24,2.24,0.0,0.0,IT,2020-04-07 00:22:48
63,Hithadhoo,-0.6,73.08,clear sky,83.68,67,8,5.95,0.0,0.0,MV,2020-04-07 00:22:48
64,Tasiilaq,65.61,-37.64,light snow,28.4,100,100,4.79,0.0,0.0,GL,2020-04-07 00:22:48
65,Sayyan,15.17,44.32,clear sky,57.49,23,0,3.24,0.0,0.0,YE,2020-04-07 00:22:49
66,Inhambane,-23.86,35.38,clear sky,77.77,77,0,14.81,0.0,0.0,MZ,2020-04-07 00:22:49
67,Joshimath,30.57,79.57,clear sky,40.91,24,0,7.18,0.0,0.0,IN,2020-04-07 00:22:49
68,Havre-Saint-Pierre,50.23,-63.6,overcast clouds,30.2,68,90,8.05,0.0,0.0,CA,2020-04-07 00:22:49
69,Mahebourg,-20.41,57.7,broken clouds,78.01,78,75,19.46,0.0,0.0,MU,2020-04-07 00:22:50
70,Castro,-24.79,-50.01,moderate rain,62.33,73,90,2.62,11.0,0.0,BR,2020-04-07 00:22:50
71,Gazli,40.13,63.45,scattered clouds,61.12,44,40,12.64,0.0,0.0,UZ,2020-04-07 00:22:50
72,Saint Pete Beach,27.73,-82.74,scattered clouds,79.0,65,40,17.22,0.0,0.0,US,2020-04-07 00:22:50
73,Bernex,46.18,6.08,clear sky,48.0,70,0,1.12,0.0,0.0,CH,2020-04-07 00:22:51
74,Taoudenni,22.68,-3.98,clear sky,82.0,14,0,16.42,0.0,0.0,ML,2020-04-07 00:22:52
75,Dingli,35.86,14.38,clear sky,55.99,82,1,5.82,0.0,0.0,MT,2020-04-07 00:22:52
76,Dilijan,40.74,44.86,light rain,40.28,55,100,5.46,1.13,0.0,AM,2020-04-07 00:22:52
77,Cayenne,4.93,-52.33,broken clouds,80.6,83,75,4.7,0.0,0.0,GF,2020-04-07 00:22:52
78,Hearst,49.68,-83.67,broken clouds,31.33,90,75,3.24,0.0,0.0,CA,2020-04-07 00:22:54
79,Kemijarvi,66.71,27.43,overcast clouds,32.5,90,99,8.14,0.0,0.0,FI,2020-04-07 00:22:54
80,Saint-Philippe,-21.36,55.77,broken clouds,77.0,68,75,9.17,0.0,0.0,RE,2020-04-07 00:22:55
81,Gospic,44.55,15.37,clear sky,39.2,63,0,3.36,0.0,0.0,HR,2020-04-07 00:22:56
82,Goreloye,52.94,41.5,clear sky,29.57,85,0,7.34,0.0,0.0,RU,2020-04-07 00:22:56
83,Tubuala,9.52,-79.03,few clouds,86.0,66,20,3.36,0.0,0.0,PA,2020-04-07 00:22:56
84,Mehamn,71.04,27.85,broken clouds,28.4,79,75,16.11,0.0,0.0,NO,2020-04-07 00:22:56
85,Kangaatsiaq,68.31,-53.46,broken clouds,15.98,82,66,8.66,0.0,0.0,GL,2020-04-07 00:22:56
86,Saint George,37.1,-113.58,clear sky,64.99,31,1,12.75,0.0,0.0,US,2020-04-07 00:22:56
87,Ponta Do Sol,32.67,-17.1,few clouds,66.2,82,20,2.24,0.0,0.0,PT,2020-04-07 00:22:57
88,Salinas,36.68,-121.66,clear sky,55.4,62,1,13.87,0.0,0.0,US,2020-04-07 00:18:35
89,Peniche,39.36,-9.38,mist,62.01,100,75,6.93,0.0,0.0,PT,2020-04-07 00:22:57
90,Camacupa,-12.02,17.48,light rain,61.66,63,2,2.64,0.42,0.0,AO,2020-04-07 00:22:57
91,Scarborough,54.28,-0.4,clear sky,46.99,75,0,2.24,0.0,0.0,GB,2020-04-07 00:18:09
92,Noyabrsk,63.2,75.45,snow,33.33,94,100,18.14,0.0,1.53,RU,2020-04-07 00:19:15
93,Saint Austell,50.34,-4.77,clear sky,48.99,75,6,4.7,0.0,0.0,GB,2020-04-07 00:22:58
94,Dingle,11.0,122.67,clear sky,81.01,70,1,8.12,0.0,0.0,PH,2020-04-07 00:22:58
95,Esna,25.29,32.55,clear sky,75.2,36,0,10.13,0.0,0.0,EG,2020-04-07 00:22:58
96,Upernavik,72.79,-56.15,clear sky,13.84,91,0,15.48,0.0,0.0,GL,2020-04-07 00:22:58
97,Georgetown,5.41,100.34,few clouds,80.6,94,20,2.24,0.0,0.0,MY,2020-04-07 00:19:41
98,Umm Kaddadah,13.6,26.69,clear sky,78.66,12,2,6.46,0.0,0.0,SD,2020-04-07 00:20:54
99,Foggia,41.45,15.53,clear sky,46.4,81,5,3.36,0.0,0.0,IT,2020-04-07 00:22:59
100,San Antonio Del Tachira,7.81,-72.44,haze,84.2,66,40,5.82,0.0,0.0,VE,2020-04-07 00:22:59
101,Chuy,-33.7,-53.46,clear sky,58.06,58,1,16.22,0.0,0.0,UY,2020-04-07 00:22:59
102,Mitsamiouli,-11.38,43.28,scattered clouds,83.91,65,27,5.06,0.0,0.0,KM,2020-04-07 00:22:59
103,Taltal,-25.4,-70.48,clear sky,66.45,72,9,3.58,0.0,0.0,CL,2020-04-07 00:22:59
