City_ID,City,Country,Current Conditions,Lat,Lng,Max Temp,Hotel Name
85,Kangaatsiaq,GL,broken clouds,68.31,-53.46,15.98,
86,Saint George,US,clear sky,37.1,-113.58,64.99,Best Western Plus Abbey Inn
87,Ponta Do Sol,PT,few clouds,32.67,-17.1,66.2,Hotel do Campo
88,Salinas,US,clear sky,36.68,-121.66,55.4,Good Nite Inn Salinas Monterey
89,Peniche,PT,mist,39.36,-9.38,62.01,Hotel Star inn Peniche
91,Scarborough,GB,clear sky,54.28,-0.4,46.99,Ambassador
93,Saint Austell,GB,clear sky,50.34,-4.77,48.99,The Cornwall Hotel & Spa
94,Dingle,PH,clear sky,11.0,122.67,81.01,Camp Pasica
95,Esna,EG,clear sky,25.29,32.55,75.2,Orient Star Dahabyia Isna 05 Nights Each Sunday
96,Upernavik,GL,clear sky,72.79,-56.15,13.84,Gina's Guesthouse - Upernavik
97,Georgetown,MY,few clouds,5.41,100.34,80.6,Cititel Penang
98,Umm Kaddadah,SD,clear sky,13.6,26.69,78.66,
99,Foggia,IT,clear sky,41.45,15.53,46.4,B&B White
100,San Antonio Del Tachira,VE,haze,7.81,-72.44,84.2,Motel El Castillo
101,Chuy,UY,clear sky,-33.7,-53.46,58.06,Nuevo Hotel Plaza
102,Mitsamiouli,KM,scattered clouds,-11.38,43.28,83.91,Foyer ADM
103,Taltal,CL,clear sky,-25.4,-70.48,66.45,Residencial Karime
104,Goderich,CA,overcast clouds,43.75,-81.72,48.0,Harmony Inn
105,Yar-Sale,RU,overcast clouds,66.83,70.83,19.29,Yalemd
107,Tiznit,MA,clear sky,29.58,-9.5,62.94,
108,Harku,EE,few clouds,59.13,24.37,43.0,
109,Lagoa,PT,overcast clouds,39.05,-27.98,61.65,Casa Das Faias
110,Antofagasta,CL,scattered clouds,-23.65,-70.4,64.4,Hotel Terrado Suites Antofagasta
111,Goure,NE,clear sky,13.98,10.27,84.15,
112,Almendralejo,ES,broken clouds,38.68,-6.41,59.0,Hotel España
113,Mamallapuram,IN,mist,12.63,80.17,82.99,Hotel Ramakrishna
114,Rauma,FI,overcast clouds,61.13,21.51,39.2,Kalliohovi Hotel
115,Ilulissat,GL,broken clouds,69.22,-51.1,10.4,Hotel Arctic
116,Port-Cartier,CA,broken clouds,50.03,-66.87,41.0,Le Q'Artier
117,Lebu,CL,clear sky,-37.62,-73.65,54.7,Hostal Las Lilas
118,Ciupercenii Noi,RO,clear sky,43.91,22.95,38.91,biboteanu
119,Port Elizabeth,ZA,scattered clouds,-33.92,25.57,59.0,39 On Nile Guest House
120,Souillac,MU,broken clouds,-20.52,57.52,78.01,Bils' Villa
121,Maneromango,TZ,scattered clouds,-7.2,38.78,69.6,
122,Uppsala,SE,broken clouds,60.0,17.75,39.99,Läderskål
123,Ciudad Bolivar,VE,overcast clouds,8.12,-63.55,86.61,Hotel Edi
124,Ostrovnoy,RU,broken clouds,68.05,39.51,14.02,
125,Faya,SA,scattered clouds,18.39,42.45,62.6,مقبرة ال مجمل
126,Acarau,BR,overcast clouds,-2.89,-40.12,78.82,castelo pizzaria
127,Boa Esperanca,BR,few clouds,-21.09,-45.57,69.39,JHS Palace Hotel
128,Kommunisticheskiy,RU,clear sky,61.68,64.48,21.22,
129,Guayaramerin,BO,scattered clouds,-10.84,-65.36,80.42,Hostal FÜNF
130,Carnarvon,AU,clear sky,-24.87,113.63,75.2,Hospitality Carnarvon
131,Kholmogory,RU,scattered clouds,64.22,41.66,19.4,Khostel Strannik
132,Talcahuano,CL,clear sky,-36.72,-73.12,57.2,Hotel Terramar
133,Uusikaupunki,FI,overcast clouds,60.8,21.41,41.0,Hotel Aquarius
134,Shache,CN,clear sky,38.42,77.24,50.81,Delong Hotel
135,Zhezkazgan,KZ,overcast clouds,47.8,67.71,48.85,Kvartiry Posutochno.
136,Nalut,LY,clear sky,30.33,10.85,59.29,
138,Akcakoca,TR,clear sky,41.09,31.12,44.73,Turkuaz Beach Otel
140,Vila Velha,BR,broken clouds,-20.33,-40.29,78.8,Hotel Vitória Palace
141,Rzhev,RU,few clouds,56.26,34.33,30.2,Hostel Na Razina
142,Druzhba,UA,clear sky,52.04,33.95,37.8,
143,Port Blair,IN,overcast clouds,11.67,92.75,81.36,Hotel Sentinel
144,Sabzevar,IR,broken clouds,36.21,57.68,53.89,پارکینگ وسایل سنگین جنوب
145,Bilma,NE,clear sky,18.69,12.92,84.06,Expeditions Ténére voyages
146,Rio Gallegos,AR,broken clouds,-51.62,-69.22,51.8,Hotel Santa Cruz
147,Hurghada,EG,clear sky,27.26,33.81,71.6,Sea Star Beau Rivage Hotel
148,Pocone,BR,broken clouds,-16.26,-56.62,79.63,Hotel e Churrascaria Pantaneira
149,The Valley,AI,scattered clouds,18.22,-63.06,82.0,CeBlue Villas & Beach Resort
150,Krutikha,RU,overcast clouds,53.96,81.21,35.47,
151,Hualmay,PE,clear sky,-11.1,-77.61,72.39,Hotel Restaurant Turístico Casablanca
152,Porkhov,RU,broken clouds,57.77,29.56,30.2,Hotel Parking
153,Ancud,CL,scattered clouds,-41.87,-73.82,42.8,HOTEL ANCUD DON LUCAS
154,Salekhard,RU,overcast clouds,66.53,66.6,12.2,Hotel 89
155,Comodoro Rivadavia,AR,clear sky,-45.87,-67.5,51.8,Austral Hotel
156,Qasigiannguit,GL,broken clouds,68.82,-51.19,10.4,
157,Kutum,SD,clear sky,14.2,24.67,66.36,Dibbo areaمنطقة دبو
158,Xuddur,SO,few clouds,4.12,43.89,76.24,Banjanay Hotel
161,Quatre Cocos,MU,broken clouds,-20.21,57.76,78.01,Veranda Palmar Beach Hotel
163,Oistins,BB,scattered clouds,13.07,-59.53,80.6,Butterfly Beach Hotel
164,Dudinka,RU,light shower snow,69.41,86.18,30.2,Hotel Viktoria
