City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Tonantins,BR,2020-04-06 21:25:35,-2.87,-67.8,82.24,89,99,2.84
70,Port Elizabeth,ZA,2020-04-06 21:25:35,-33.92,25.57,57.2,71,76,16.11
71,Saint Anthony,US,2020-04-06 21:25:35,45.02,-93.22,59.0,58,90,9.17
72,Nosy Varika,MG,2020-04-06 21:25:35,-20.58,48.53,74.3,90,50,2.75
73,Matagami,CA,2020-04-06 21:25:36,49.75,-77.63,35.6,43,1,11.41
74,Kruisfontein,ZA,2020-04-06 21:25:36,-34.0,24.73,54.64,67,90,20.69
75,Brokopondo,SR,2020-04-06 21:25:36,4.75,-55.17,82.13,76,100,5.88
76,Bauchi,NG,2020-04-06 21:25:36,10.5,10.0,85.95,38,79,7.36
77,Sao Jose Da Coroa Grande,BR,2020-04-06 21:25:36,-8.9,-35.15,81.52,77,10,8.84
78,Pimentel,PE,2020-04-06 21:25:36,-6.84,-79.93,66.2,29,3,20.8
79,Westfield,US,2020-04-06 21:25:36,42.13,-72.75,64.4,16,1,10.29
80,Sambava,MG,2020-04-06 21:25:36,-14.27,50.17,75.99,86,6,5.86
81,Codrington,AU,2020-04-06 21:24:24,-38.27,141.97,52.54,71,100,5.55
82,Sorland,NO,2020-04-06 21:22:04,67.67,12.69,42.06,78,100,18.7
83,Bambous Virieux,MU,2020-04-06 21:25:37,-20.34,57.76,78.01,83,40,8.05
84,Lebu,CL,2020-04-06 21:21:24,-37.62,-73.65,57.07,57,0,22.19
85,Santiago Del Estero,AR,2020-04-06 21:25:06,-27.8,-64.26,76.46,38,7,14.47
86,Touros,BR,2020-04-06 21:25:37,-5.2,-35.46,82.4,83,20,9.17
87,Los Llanos De Aridane,ES,2020-04-06 21:25:37,28.66,-17.92,69.8,83,75,3.36
88,Ostrovnoy,RU,2020-04-06 21:25:37,68.05,39.51,16.25,95,94,5.19
89,Coihueco,CL,2020-04-06 21:25:37,-36.62,-71.83,73.4,25,0,14.99
90,Dubrovytsya,UA,2020-04-06 21:25:38,51.57,26.57,43.59,55,0,4.74
91,Mar Del Plata,AR,2020-04-06 21:25:38,-38.0,-57.56,57.99,66,75,12.75
92,Nieuw Amsterdam,SR,2020-04-06 21:25:38,5.88,-55.08,86.0,66,40,13.87
93,Mana,GF,2020-04-06 21:25:38,5.66,-53.78,81.23,76,83,10.87
94,Rovinj,HR,2020-04-06 21:25:38,45.08,13.64,64.4,32,0,10.29
95,Salvador,SV,2020-04-06 21:25:38,13.83,-88.92,91.4,66,20,12.75
96,Vila Franca Do Campo,PT,2020-04-06 21:25:38,37.72,-25.43,62.6,100,75,10.29
97,Pedernales,DO,2020-04-06 21:25:38,18.04,-71.74,83.73,63,96,5.86
98,Vardo,NO,2020-04-06 21:25:39,70.37,31.11,28.4,86,75,17.22
99,Skibbereen,IE,2020-04-06 21:23:27,51.55,-9.27,41.0,86,20,3.36
100,Praia,CV,2020-04-06 21:25:39,14.92,-23.51,73.4,69,0,17.22
101,Dikson,RU,2020-04-06 21:25:39,73.51,80.55,8.11,95,97,13.78
102,Imbituba,BR,2020-04-06 21:25:39,-28.24,-48.67,69.8,68,75,5.82
103,Muros,ES,2020-04-06 21:25:39,42.78,-9.06,60.01,82,40,3.36
104,Bilma,NE,2020-04-06 21:25:39,18.69,12.92,87.24,11,0,10.65
105,Saint-Joseph,RE,2020-04-06 21:16:19,-21.37,55.62,77.0,73,20,6.93
106,Baghdad,IQ,2020-04-06 21:25:33,33.34,44.4,71.6,49,93,5.82
107,Kajiado,KE,2020-04-06 21:25:40,-1.85,36.78,66.2,82,75,5.82
108,Iroquois Falls,CA,2020-04-06 21:20:59,48.77,-80.68,46.4,26,40,8.05
109,Taman,RU,2020-04-06 21:23:32,45.21,36.72,39.0,51,0,11.18
110,Richards Bay,ZA,2020-04-06 21:25:40,-28.78,32.04,74.75,87,63,6.93
111,Port-Cartier,CA,2020-04-06 21:25:40,50.03,-66.87,35.6,47,75,17.22
112,Beloha,MG,2020-04-06 21:25:40,-25.17,45.05,70.81,80,2,6.55
